pid,rating_average,reviews_count,item,price,Công ty phát hành,Ngày xuất bản,Kích thước,Loại bìa,Số trang,category
44872819.0,0.0,0,Sách Truyện Tranh Thiếu Nhi Hay: Chó Và Mèo Dưới Lăng Kính Khoa Học,112500.0,Nhã Nam,,,Bìa mềm,,sách thiếu nhi
44888074.0,0.0,0,Combo Tiểu Thuyết Lãng Mạn Cho Bạn Trẻ:  Dám Bị Ghét + Tuổi Trẻ Đáng Giá Bao Nhiêu ( Sách Hot),143220.0,Nhã Nam,,,Bìa mềm,,sách tiểu thuyết
44889264.0,0.0,0,"Combo Kĩ Năng Sống Cho Phái Nữ Bán Chạy Nhất: Đừng Chỉ Đẹp Mà Không Hiểu Chuyện + Càng Mạnh Mẽ, Càng Dịu Dàng ",149000.0,Nhiều công ty phát hành,,,Bìa mềm,,sách bán chạy
44891463.0,0.0,0,Cuốn Sách Kỹ Năng Sống Hay Cho Tuổi Trẻ: Chưa Một Lần Đau Sao Là Tuổi Trẻ,86250.0,Minh Long,,,Bìa mềm,,sách kĩ năng sống
44976191.0,4.8,732,Economix - Các Nền Kinh Tế Vận Hành (Và Không Vận Hành) Thế Nào Và Tại Sao?,118000.0,Nhã Nam,2019-12-01 00:00:00,17 x 24.5 cm,Bìa mềm,310.0,sách kinh tế
45321626.0,4.8,269,Thực Hành Thiền Định,49000.0,Thái Hà,2019-12-01 00:00:00,12x20 cm,Bìa mềm,182.0,sách tiếng việt
45349399.0,4.8,209,BTS: The Review (Tặng Kèm Bookmark 3D + Postcard),115000.0,Shinebooks,2019-12-01 00:00:00,14.5 x 20.5,Bìa mềm,280.0,sách nước ngoài
45353399.0,0.0,0,Tạp chí Khoa Học Làn Da Skinmag,120000.0,Nhà Xuất Bản Thanh Niên,2019-09-26 16:55:17,,Bìa cứng,132.0,tạp chí
45438055.0,4.8,614,BỘ SÁCH HỌC TIẾNG ANH lITTLE STORIES,422500.0,Zenbooks,,,Bìa mềm,1900,sách tiếng anh
45663835.0,4.8,11,Lạc Quan Tếu – Irrational Exuberance,299000.0,CÔNG TY TNHH HAPPY LIVE,2021-08-27 12:24:33,,Bìa rời,380.0,sách kinh tế
45888874.0,0.0,0,Sách thiếu nhi Nhật Bản - TRÍ TUỆ VUI cho bé 3-4-5 tuổi - Phát triển cảm hứng,45900.0,IBook Việt Nam,2019-11-01 10:50:30,,Bìa mềm,80.0,sách thiếu nhi
45970465.0,4.9,37,Series Magnus Chase Và Các Vị Thần Asgard (Ngoại Truyện): Chín Câu Chuyện Cửu Giới,32000.0,Chibooks,2019-12-01 00:00:00,14.5 x 20.5 cm,Bìa mềm,140.0,sách nước ngoài
46240929.0,4.8,4381,Rèn Luyện Tư Duy Phản Biện,64000.0,1980 Books,2019-12-01 00:00:00,13 x 19 cm,Bìa mềm,204.0,sách tư duy
46332534.0,4.8,480,Sherlock Holmes Toàn Tập (3 Tập - Hộp Đứng) (Bìa Mềm)(Tái Bản),371000.0,Công Ty Cổ Phần Văn Hóa Đông A,2019-01-12 00:00:00,16 x 24 cm,Bìa mềm,,sách văn học
46465897.0,0.0,0,"Combo 2 cuốn sách tư duy kĩ năng sống:  Sức Mạnh Của Sự Quan Tâm +  Nghệ Thuật Tinh Tế Của Việc ""Đếch"" Quan Tâm",163950.0,Nhiều công ty phát hành,,,Bìa mềm,,sách kĩ năng sống
46759451.0,4.9,98,Hành Trang Lập Trình – Những Kỹ Năng Lập Trình Viên Chuyên Nghiệp Cần Có,89500.0,Tri Thức Trẻ Books,2020-01-02 00:00:00,13.5 x 20 cm,Bìa mềm,300.0,sách viến tưởng
46772900.0,0.0,0,Cuốn sách là bài học giúp bạn thay đổi quan niệm thông thường và sáng tạo ra các phương pháp mới để nâng cao năng suất: Phương Thức Toyota : Câu Chuyện Về Đội Nhóm Tuyệt Mật,133330.0,Alphabooks,,,,,sách kĩ năng sống
46772955.0,0.0,0,Tuyển Tập Series Tiểu Thuyết Sử Thi Viễn Tưởng Bán Chạy Nhất Nước Mỹ Cuat Tác Giả George R. R. Martin: Trò Chơi Vương Quyền 3C - Tử Hôn,133330.0,Alphabooks,,,,,tiểu sử
46773007.0,0.0,0,Cuốn Sách Đỉnh Cao Về Tư Duy Sâu Sắc và Tư Duy Một Cách Có Logic: Tư Duy Như Một Kẻ Lập Dị (Bán Chạy Nhất New Your Time Nhiều Năm Liên Tiếp),77349.0,Alphabooks,,,,,sách tư duy
47321849.0,4.9,28,"Sách IRED Books - Lịch sử văn minh thế giới phần 11 - Văn minh thời đại Napoléon, tập 3 : Văn minh Anh Quốc - Will Durant",156000.0,VIỆN GIÁO DỤC IRED,2020-01-02 00:00:00,14 x 22 cm,Bìa cứng,500.0,sách lịch sử
47460873.0,0.0,0,Mẹ Con Sư Tử - Sách thiếu nhi,133200.0,PHANBOOK,2020-01-15 10:43:16,,Bìa cứng,41.0,sách thiếu nhi
47501441.0,0.0,0,Sách kỹ năng và nuôi dưỡng tâm hồn  - Cuộc sống bao điều hay (Sách Thiếu Nhi),57700.0,Việt An Book,,,,,sách thiếu nhi
47504777.0,4.7,167,Tủ Sách Tinh Hoa Văn Học - Tà Dương (Tái Bản 2020),95500.0,Phương Nam Book,2020-01-02 00:00:00,13 x 19 cm,Bìa mềm,,sách nhật bản
47516963.0,0.0,0,Sách thiếu nhi Nhật Bản - TRÍ TUỆ VUI cho bé 4-5-6 tuổi - Phát triển cảm hứng,69000.0,IBook Việt Nam,2019-12-01 14:45:14,,Bìa mềm,80.0,sách thiếu nhi
47517552.0,0.0,0,Sách thiếu nhi Nhật Bản - CÂU ĐỐ HÌNH cho bé 5-6-7 tuổi - Nâng cao khả năng suy luận,46800.0,IBook Việt Nam,2019-12-01 14:56:40,,Bìa mềm,80.0,sách thiếu nhi
47520287.0,0.0,0,Sách thiếu nhi Nhật Bản - CÂU ĐỐ SUY LUẬN cho bé 5-6-7 tuổi - Nâng cao khả năng suy luận,45900.0,IBook Việt Nam,2019-12-01 15:02:50,,Bìa mềm,80.0,sách thiếu nhi
47530628.0,0.0,0,Sách thiếu nhi Nhật Bản - COMBO 4 cuốn TRÍ TUỆ VUI - CÂU ĐỐ HÌNH - CÂU ĐỐ SUY LUẬN cho bé từ 3-7 tuổi,179100.0,IBook Việt Nam,2019-12-01 15:15:56,,Bìa mềm,80.0,sách thiếu nhi
47799412.0,4.6,13,157 Hiện Tượng Bí Ẩn Trên Thế Giới Chưa Được Giải Đáp (Tái Bản),79100.0,Nhà sách Minh Thắng,2020-01-02 00:00:00,14.5 x 20.5 cm,Bìa mềm,528.0,sách bí ẩn
47926432.0,0.0,0,Sách hay về kĩ năng sống: Dịch Vụ Hoàn Hảo Chuẩn Nhật,60503.0,Thái Hà,,,Bìa mềm,,sách kĩ năng sống
48136110.0,0.0,0,Sách Chính Trị - Pháp Lý Đặc Sắc: Tương Lai Của Quyền Lực,120500.0,Bách Việt,,,Bìa mềm,492.0,sách chính trị
